date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:16:46	157/157	---MCZ	200	added ('OK')	text/plain	etag:%2280709-1743260434;gz%22	https://khada.vn/robots.txt		(from )
06:16:48	1604051/1604051	---MCZ	200	added ('OK')	text/html	etag:%2280703-1743258190;gz%22	https://khada.vn/	C:/My%20Web%20Sites/xuongkhacdau15/index.html	(from )
06:16:48	294308/294308	---M-Z	200	added ('OK')	text/css	date:Fri,%2028%20Mar%202025%2003:37:22%20GMT	../wp-content/litespeed/css/52562af4e116f5739c1fa428256a68e4.css?ver=7e1dd	C:/My%20Web%20Sites/xuongkhacdau15/wp-content/litespeed/css/52562af4e116f5739c1fa428256a68e4a680.css	(from https://khada.vn/)
06:16:48	691/691	---M--	200	added ('Not%20Acceptable')	text/html	date:Sat,%2029%20Mar%202025%2023:16:48%20GMT	https://khada.vn/xmlrpc.php	C:/My%20Web%20Sites/xuongkhacdau15/xmlrpc.html	(from https://khada.vn/)
06:16:49	28283/28283	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20Sep%202023%2004:58:47%20GMT	../wp-content/uploads/2023/09/logo-khada.jpg	C:/My%20Web%20Sites/xuongkhacdau15/wp-content/uploads/2023/09/logo-khada.jpg	(from https://khada.vn/)
06:16:49	53856/53856	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2001%20Apr%202024%2013:45:53%20GMT	../wp-content/themes/flatsome/assets/js/flatsome.js?ver=a0a7aee297766598a20e	C:/My%20Web%20Sites/xuongkhacdau15/wp-content/themes/flatsome/assets/js/flatsomeaeec.js	(from https://khada.vn/)
06:16:49	49913/49913	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2001%20Apr%202024%2013:45:52%20GMT	../wp-content/themes/flatsome/assets/js/chunk.slider.js?ver=3.18.6	C:/My%20Web%20Sites/xuongkhacdau15/wp-content/themes/flatsome/assets/js/chunk.slider6294.js	(from https://khada.vn/)
06:16:49	20041/20041	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2001%20Apr%202024%2013:45:52%20GMT	../wp-content/themes/flatsome/assets/js/chunk.popups.js?ver=3.18.6	C:/My%20Web%20Sites/xuongkhacdau15/wp-content/themes/flatsome/assets/js/chunk.popups6294.js	(from https://khada.vn/)
06:16:49	39860/39860	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2001%20Apr%202024%2013:45:52%20GMT	../wp-content/themes/flatsome/assets/js/chunk.tooltips.js?ver=3.18.6	C:/My%20Web%20Sites/xuongkhacdau15/wp-content/themes/flatsome/assets/js/chunk.tooltips6294.js	(from https://khada.vn/)
06:16:50	21855/21855	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2001%20Apr%202024%2013:45:52%20GMT	../wp-content/themes/flatsome/assets/js/woocommerce.js?ver=49415fe6a9266f32f1f2	C:/My%20Web%20Sites/xuongkhacdau15/wp-content/themes/flatsome/assets/js/woocommerce9c5c.js	(from https://khada.vn/)
06:16:50	87553/87553	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2008%20Nov%202023%2003:39:20%20GMT	../wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/xuongkhacdau15/wp-includes/js/jquery/jquery.minf43b.js	(from https://khada.vn/)
06:16:51	134844/134844	---M-Z	200	added ('OK')	application/rss+xml	etag:%224e8338f784f30c6373cd87910d7a9bee%22	https://khada.vn/feed/	C:/My%20Web%20Sites/xuongkhacdau15/feed/index.html	(from https://khada.vn/)
06:16:51	800/800	---M-Z	200	added ('OK')	application/rss+xml	etag:%224e8338f784f30c6373cd87910d7a9bee%22	https://khada.vn/comments/feed/	C:/My%20Web%20Sites/xuongkhacdau15/comments/feed/index.html	(from https://khada.vn/)
06:16:52	1229/1229	---M--	403	error ('Forbidden')	text/html	date:Sat,%2029%20Mar%202025%2023:16:51%20GMT	https://khada.vn/xmlrpc.php?rsd	C:/My%20Web%20Sites/xuongkhacdau15/xmlrpc0db0.php	(from https://khada.vn/)
06:16:52	1962347/1962347	---MCZ	200	added ('OK')	application/json	date:Sat,%2029%20Mar%202025%2023:16:52%20GMT	../wp-json/	C:/My%20Web%20Sites/xuongkhacdau15/wp-json/index.html	(from https://khada.vn/)
06:16:52	1574048/1574048	---MCZ	200	added ('OK')	application/json	date:Sat,%2029%20Mar%202025%2023:16:51%20GMT	../wp-json/wp/v2/pages/103	C:/My%20Web%20Sites/xuongkhacdau15/wp-json/wp/v2/pages/103.json	(from https://khada.vn/)
06:16:53	2457/2457	---M-Z	200	added ('OK')	application/json	date:Sat,%2029%20Mar%202025%2023:16:52%20GMT	../wp-json/oembed/1.0/embed?url=https%3A%2F%2Fkhada.vn%2F	C:/My%20Web%20Sites/xuongkhacdau15/wp-json/oembed/1.0/embed274f.json	(from https://khada.vn/)
06:16:54	2706/2706	---M-Z	200	added ('OK')	text/xml	date:Sat,%2029%20Mar%202025%2023:16:53%20GMT	../wp-json/oembed/1.0/embed?url=https%3A%2F%2Fkhada.vn%2F&format=xml	C:/My%20Web%20Sites/xuongkhacdau15/wp-json/oembed/1.0/embed5069	(from https://khada.vn/)
06:16:54	5522/5522	---M--	200	added ('OK')	image/png	date:Sun,%2018%20Jun%202023%2005:50:16%20GMT	../wp-content/uploads/2023/06/logo-1.png	C:/My%20Web%20Sites/xuongkhacdau15/wp-content/uploads/2023/06/logo-1.png	(from https://khada.vn/)
06:16:54	80883/80883	---M-Z	200	added ('OK')	text/html	etag:%2280767-1743271188;gz%22	https://khada.vn/tin-tuc/	C:/My%20Web%20Sites/xuongkhacdau15/tin-tuc/index.html	(from https://khada.vn/)
06:16:54	72847/72847	---M-Z	200	added ('OK')	text/html	etag:%2280765-1743271186;gz%22	https://khada.vn/tai-khoan/nguyen-an-vy/	C:/My%20Web%20Sites/xuongkhacdau15/tai-khoan/nguyen-an-vy/index.html	(from https://khada.vn/)
06:16:55	106942/106942	---M-Z	200	added ('OK')	text/html	etag:%2280766-1743271187;gz%22	https://khada.vn/gioi-thieu/	C:/My%20Web%20Sites/xuongkhacdau15/gioi-thieu/index.html	(from https://khada.vn/)
06:16:55	83266/83266	---M-Z	200	added ('OK')	text/html	etag:%2280768-1743271188;gz%22	https://khada.vn/danh-muc-san-pham/con-dau/	C:/My%20Web%20Sites/xuongkhacdau15/danh-muc-san-pham/con-dau/index.html	(from https://khada.vn/)
06:16:56	216731/216731	---MCZ	200	added ('OK')	text/html	etag:%2280719-1743266829;gz%22	https://khada.vn/lam-bang-hieu/	C:/My%20Web%20Sites/xuongkhacdau15/lam-bang-hieu/index.html	(from https://khada.vn/)
06:16:56	84613/84613	---M-Z	200	added ('OK')	text/html	etag:%2280769-1743271193;gz%22	https://khada.vn/danh-muc-san-pham/in-an/	C:/My%20Web%20Sites/xuongkhacdau15/danh-muc-san-pham/in-an/index.html	(from https://khada.vn/)
06:16:56	54390/54390	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Mar%202025%2023:16:55%20GMT	../wp-content/uploads/2023/06/thiet-ke.svg	C:/My%20Web%20Sites/xuongkhacdau15/wp-content/uploads/2023/06/thiet-ke.svg	(from https://khada.vn/)
06:16:57	63533/63533	---MCZ	200	added ('OK')	text/html	etag:%2280721-1743267873;gz%22	https://khada.vn/lien-he/	C:/My%20Web%20Sites/xuongkhacdau15/lien-he/index.html	(from https://khada.vn/)
06:16:57	84371/84371	---MCZ	200	added ('OK')	text/html	etag:%2280710-1743260828;gz%22	https://khada.vn/san-pham/	C:/My%20Web%20Sites/xuongkhacdau15/san-pham/index.html	(from https://khada.vn/)
06:16:57	132917/132917	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Mar%202025%2023:16:56%20GMT	https://khada.vn/cart/	C:/My%20Web%20Sites/xuongkhacdau15/cart/index.html	(from https://khada.vn/)
06:16:58	54402/54402	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Mar%202025%2023:16:57%20GMT	../wp-content/uploads/2023/06/thanh-toan.svg	C:/My%20Web%20Sites/xuongkhacdau15/wp-content/uploads/2023/06/thanh-toan.svg	(from https://khada.vn/)
06:16:58	2894/2894	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2017%20Jun%202023%2014:30:51%20GMT	../wp-content/uploads/2023/06/bh.svg	C:/My%20Web%20Sites/xuongkhacdau15/wp-content/uploads/2023/06/bh.svg	(from https://khada.vn/)
06:16:58	2057/2057	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2017%20Jun%202023%2014:31:22%20GMT	../wp-content/uploads/2023/06/Artboard-1-1.svg	C:/My%20Web%20Sites/xuongkhacdau15/wp-content/uploads/2023/06/Artboard-1-1.svg	(from https://khada.vn/)
